Company Name,Year,Revenue,COS,A/R,A/P,Inventory,NI,CA,#NAME?,CL,GOI,ROA,CR,QR,RD,PD,ID,CCC,Size=Logarithm of assets,ID,t,net profit margin,Mean,Ind Avg.,gross profit margin,Mean,Ind. Avg.,ROA,Mean,Ind. Avg.
ENVOY TEX,2015,"5,479,121,542","4,309,791,359","1,570,830,462","836,176,370","1,387,898,731","571,241,595","3,887,033,787","11,730,308,055","3,915,954,298",1169.33,0.05,0.99,0.64,103.21,69.85,115.93,149.3,23.185442,16,3,10.42578798,,,0.213415631,,,0.048697919,,
ENVOY TEX,2016,"4,753,778,825","3,858,788,036",1786356870,"554,244,624","1,327,900,307","353,462,829","4,024,174,209","14,213,489,075","4,540,480,471",894.99,0.02,0.89,0.59,135.28,51.71,123.88,207.46,23.377457,16,4,7.435407536,,,0.188269337,,,0.024868125,,
ENVOY TEX,2017,"6,078,738,108","4,994,609,392","2,643,632,850","640,424,536","2,155,076,681","319,791,736","5,289,365,792","16,060,338,648","6,226,512,501",1084.13,0.02,0.85,0.5,156.56,46.16,155.33,265.74,23.499619,16,5,5.260824374,8.227213421,,0.17834766,0.194955929,,0.019911892,0.034540999,
ETL,2014,"2,337,278,020","1,869,820,593","492,251,370","100,827,723","463,940,341","166,350,189","1,292,550,569","2,898,055,054","1,593,650,078",467.46,0.06,0.81,0.52,75.82,19.41,89.32,145.73,21.787306,17,1,7.117261514,,,0.20000078,,,0.057400631,,
ETL,2015,"1,517,655,259","1,121,189,659","639,830,436","80,267,390","463,521,241","106,236,088","1,284,075,244","3,281,511,417","1,321,084,457",396.47,0.03,0.97,0.62,151.77,25.77,148.83,274.83,21.91157,17,2,7.000014487,,,0.261235612,,,0.032374133,,
ETL,2016,"3,113,644,076","2,440,916,343","814,266,424","54,372,196","616,865,403","239,918,653","1,855,913,517","3,976,527,948","1,001,486,441",672.73,0.06,1.85,1.24,94.15,8.02,90.98,177.11,22.103675,17,3,7.705397507,,,0.216058007,,,0.060333702,,
ETL,2017,"2,326,845,444","1,813,125,036","784,025,882","9,184,437","615,344,914","185,614,034","1,769,281,455","4,178,438,229","1,263,835,153",513.72,0.04,1.4,0.91,121.3,1.82,122.18,241.66,22.153203,17,4,7.977067599,7.449935277,,0.220779773,0.224518543,,0.044421869,0.048632584,
FAMILY TEX,2013,"2,061,790,199","1,452,036,511","469,483,496","186,584,407","499,169,814","517,069,388","997,463,273","2,309,092,560","373,329,112",609.75,0.22,2.67,1.33,81.97,46.26,123.76,159.47,21.56012,18,1,25.07866165,,,0.295739929,,,0.223927528,,
FAMILY TEX,2014,"3,236,789,457","2,245,564,632","909,839,386","236,302,304","662,404,979","921,824,221","1,612,630,090","3,278,354,395","257,409,566",991.22,0.28,6.26,3.69,101.19,37.88,106.19,169.5,21.910607,18,2,28.4795855,,,0.306237041,,,0.281185043,,
FAMILY TEX,2015,"3,276,998,567","2,319,510,973","1,312,130,173","101,921,530","1,155,137,970","911,986,977","2,506,538,595","4,127,527,472","194,595,696",957.49,0.22,12.88,6.94,144.15,15.82,179.28,307.61,22.140944,18,3,27.82994738,,,0.292184319,,,0.22095237,,
FAMILY TEX,2016,"2,191,600,971","1,941,125,603","1,290,104,498","53,843,405","1,203,914,531","175,095,412","2,634,191,975","4,307,828,103","122,607,720",250.48,0.04,21.48,11.67,211.92,9.99,223.28,425.21,22.1837,18,4,7.989383757,,,0.114288765,,,0.040645868,,
FAMILY TEX,2017,"1,305,188,432","1,210,479,495","1,461,801,337","56,247,468","1,105,123,796","-14,057,257","2,704,461,671","4,325,092,003","153,928,876",94.71,0,17.57,10.39,403.2,16.73,328.67,715.14,22.187699,18,5,-1.07702893,17.66010987,,0.07256342,0.216202695,,-0.003250164,0.152692129,
FEKDIL,2013,"2,316,680,977","1,795,236,539","505,220,413","1,767,876","439,312,264","231,659,133","1,316,043,224","2,674,460,070","545,399,958",521.44,0.09,2.41,1.61,78.51,0.35,88.1,166.25,21.707013,19,1,9.999613037,,,0.22508254,,,0.086619028,,
FEKDIL,2014,"2,678,222,296","2,069,079,206","655,041,493","1,196,210","533,189,830","241,870,048","5,698,673,794","7,161,020,402","5,108,882,063",609.14,0.03,1.12,1.01,88.05,0.21,92.77,180.61,22.691918,19,2,9.03099225,,,0.227443066,,,0.033775919,,
FEKDIL,2015,"2,760,228,469","2,111,153,595","858,995,714","1,234,657","676,947,068","314,661,131","2,185,696,937","3,769,238,909","784,022,193",649.07,0.08,2.79,1.92,112.03,0.21,115.43,227.26,22.050139,19,3,11.39982195,,,0.23515259,,,0.083481344,,
FEKDIL,2016,"3,139,465,706","2,360,829,586","1,127,452,794","589,416,927","797,061,934","294,010,592","2,481,364,954","4,293,567,683","918,808,476",778.64,0.07,2.7,1.83,129.28,89.88,121.54,160.95,22.180384,19,4,9.364988171,,,0.248015488,,,0.06847699,,
FEKDIL,2017,"3,275,288,788","2,609,418,756","1,162,351,661","529,080,373","901,074,907","349,483,957","2,594,051,224","4,433,822,730","823,544,472",665.87,0.08,3.15,2.06,127.76,72.99,124.31,179.08,22.212528,19,5,10.67032496,10.09314807,,0.203301167,0.22779897,,0.078822267,0.07023511,
GENNEXT,2013,"1,679,542,170","1,081,377,007","504,355,503","18,843,850","554,719,980","282,130,815","1,293,849,778","3,991,519,216","1,215,099,553",598.17,0.07,1.06,0.61,108.11,6.27,184.67,286.5,22.107438,20,1,16.79807867,,,0.356147749,,,0.070682565,,
GENNEXT,2014,"2,139,590,735","1,468,113,087","622,040,778","14,142,541","600,972,010","363,586,330","1,456,331,847","4,438,157,004","1,396,279,037",671.48,0.08,1.04,0.61,104.66,3.47,147.37,248.56,22.213505,20,2,16.9932653,,,0.313834621,,,0.081922818,,
GENNEXT,2015,"2,605,271,479","1,877,220,456","790,442,582","13,475,912","759,643,226","497,770,969","2,317,951,416","5,413,592,890","810,526,813",728.05,0.09,2.86,1.92,109.22,2.58,145.68,252.32,22.412179,20,3,19.1062994,,,0.279453035,,,0.091948357,,
GENNEXT,2016,"3,000,352,440","2,549,708,191","873,199,626","34,953,782","1,069,563,556","162,116,624","2,454,693,432","6,048,390,717","1,007,659,313",450.64,0.03,2.44,1.37,104.77,4.94,151.01,250.85,22.523058,20,4,5.403252693,,,0.150197105,,,0.026803266,,
GENNEXT,2017,"3,279,614,648","2,637,141,557","883,439,410","36,825,901","1,041,071,140","241,713,994","2,399,357,831","6,397,342,988","835,821,951",642.47,0.04,2.87,1.63,96.97,5.03,142.12,234.07,22.579149,20,5,7.370194975,13.13421821,,0.195898958,0.259106294,,0.037783498,0.061828101,
